"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"58","189","1","0","0","0","0","1","0","59931"
"58","190","1","0","0","0","0","0","1","49967"
"58","191","1","0","0","0","0","0","0","37388"
"58","192","1","1","0","0","0","0","0","47354"
"58","193","1","0","1","0","0","0","0","74791"
"58","194","1","0","0","1","0","0","0","72752"
"58","195","1","0","0","0","1","0","0","71770"
"58","196","1","0","0","0","0","1","0","63503"
"58","197","1","0","0","0","0","0","1","54667"
"58","198","1","0","0","0","0","0","0","38314"
