"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"76","1","7","0","0","0","0","0","1","32255"
"76","2","7","0","0","0","0","0","0","27452"
"76","3","7","1","0","0","0","0","0","31617"
"76","4","7","0","1","0","0","0","0","55767"
"76","5","7","0","0","1","0","0","0","49450"
"76","6","7","0","0","0","1","0","0","42690"
"76","7","7","0","0","0","0","1","0","29532"
"76","8","7","0","0","0","0","0","1","37421"
"76","9","7","0","0","0","0","0","0","24178"
"76","10","7","1","0","0","0","0","0","31228"
"76","11","7","0","1","0","0","0","0","56734"
"76","12","7","0","0","1","0","0","0","52335"
"76","13","7","0","0","0","1","0","0","51022"
"76","14","7","0","0","0","0","1","0","49066"
"76","15","7","0","0","0","0","0","1","43444"
"76","16","7","0","0","0","0","0","0","27127"
"76","17","7","1","0","0","0","0","0","32059"
"76","18","7","0","1","0","0","0","0","62424"
"76","19","7","0","0","1","0","0","0","59331"
"76","20","7","0","0","0","1","0","0","56601"
"76","21","7","0","0","0","0","1","0","54946"
"76","22","7","0","0","0","0","0","1","47722"
"76","23","8","0","0","0","0","0","0","29802"
"76","24","8","1","0","0","0","0","0","36414"
"76","25","8","0","1","0","0","0","0","65066"
"76","26","8","0","0","1","0","0","0","59780"
"76","27","8","0","0","0","1","0","0","59140"
"76","28","8","0","0","0","0","1","0","55567"
"76","29","8","0","0","0","0","0","1","51031"
"76","30","8","0","0","0","0","0","0","31448"
"76","31","8","1","0","0","0","0","0","37788"
"76","32","8","0","1","0","0","0","0","66489"
"76","33","8","0","0","1","0","0","0","61441"
"76","34","8","0","0","0","1","0","0","59398"
"76","35","8","0","0","0","0","1","0","58241"
"76","36","8","0","0","0","0","0","1","44911"
"76","37","8","0","0","0","0","0","0","27970"
"76","38","8","1","0","0","0","0","0","35631"
"76","39","8","0","1","0","0","0","0","68970"
"76","40","8","0","0","1","0","0","0","64275"
"76","41","8","0","0","0","1","0","0","59249"
"76","42","8","0","0","0","0","1","0","55688"
"76","43","8","0","0","0","0","0","1","47885"
"76","44","8","0","0","0","0","0","0","27512"
"76","45","8","1","0","0","0","0","0","34285"
"76","46","8","0","1","0","0","0","0","66097"
"76","47","8","0","0","1","0","0","0","61460"
"76","48","8","0","0","0","1","0","0","58213"
"76","49","8","0","0","0","0","1","0","55065"
"76","50","8","0","0","0","0","0","1","47045"
"76","51","8","0","0","0","0","0","0","27799"
"76","52","8","1","0","0","0","0","0","30609"
"76","53","8","0","1","0","0","0","0","60474"
"76","54","9","0","0","1","0","0","0","57941"
"76","55","9","0","0","0","1","0","0","56403"
"76","56","9","0","0","0","0","1","0","54890"
"76","57","9","0","0","0","0","0","1","45743"
"76","58","9","0","0","0","0","0","0","28728"
"76","59","9","1","0","0","0","0","0","37386"
"76","60","9","0","1","0","0","0","0","64922"
"76","61","9","0","0","1","0","0","0","56123"
"76","62","9","0","0","0","1","0","0","53338"
"76","63","9","0","0","0","0","1","0","51512"
"76","64","9","0","0","0","0","0","1","39277"
"76","65","9","0","0","0","0","0","0","23796"
"76","66","9","1","0","0","0","0","0","27052"
"76","67","9","0","1","0","0","0","0","51997"
"76","68","9","0","0","1","0","0","0","44624"
"76","69","9","0","0","0","1","0","0","34354"
"76","70","9","0","0","0","0","1","0","24498"
"76","71","9","0","0","0","0","0","1","14594"
"76","72","9","0","0","0","0","0","0","16333"
"76","73","9","1","0","0","0","0","0","26642"
"76","74","9","0","1","0","0","0","0","59693"
"76","75","9","0","0","1","0","0","0","56616"
"76","76","9","0","0","0","1","0","0","55223"
"76","77","9","0","0","0","0","1","0","54433"
"76","78","9","0","0","0","0","0","1","41930"
"76","79","9","0","0","0","0","0","0","25006"
"76","80","9","1","0","0","0","0","0","29799"
"76","81","9","0","1","0","0","0","0","58490"
"76","82","9","0","0","1","0","0","0","56822"
"76","83","9","0","0","0","1","0","0","56286"
"76","84","10","0","0","0","0","1","0","55659"
"76","85","10","0","0","0","0","0","1","42375"
"76","86","10","0","0","0","0","0","0","25901"
"76","87","10","1","0","0","0","0","0","32969"
"76","88","10","0","1","0","0","0","0","64860"
"76","89","10","0","0","1","0","0","0","59084"
"76","90","10","0","0","0","1","0","0","52621"
"76","91","10","0","0","0","0","1","0","45915"
"76","92","10","0","0","0","0","0","1","39371"
"76","93","10","0","0","0","0","0","0","22403"
"76","94","10","1","0","0","0","0","0","22573"
"76","95","10","0","1","0","0","0","0","32979"
"76","96","10","0","0","1","0","0","0","56458"
"76","97","10","0","0","0","1","0","0","55755"
"76","98","10","0","0","0","0","1","0","51948"
"76","99","10","0","0","0","0","0","1","42911"
"76","100","10","0","0","0","0","0","0","24150"
"76","101","10","1","0","0","0","0","0","28957"
"76","102","10","0","1","0","0","0","0","61104"
"76","103","10","0","0","1","0","0","0","56964"
"76","104","10","0","0","0","1","0","0","51947"
"76","105","10","0","0","0","0","1","0","50903"
"76","106","10","0","0","0","0","0","1","39642"
"76","107","10","0","0","0","0","0","0","24450"
"76","108","10","1","0","0","0","0","0","29043"
"76","109","10","0","1","0","0","0","0","58578"
"76","110","10","0","0","1","0","0","0","55706"
"76","111","10","0","0","0","1","0","0","55931"
"76","112","10","0","0","0","0","1","0","52786"
"76","113","10","0","0","0","0","0","1","41941"
"76","114","10","0","0","0","0","0","0","20160"
"76","115","11","1","0","0","0","0","0","27305"
"76","116","11","0","1","0","0","0","0","55298"
"76","117","11","0","0","1","0","0","0","56721"
"76","118","11","0","0","0","1","0","0","52544"
"76","119","11","0","0","0","0","1","0","47270"
"76","120","11","0","0","0","0","0","1","38973"
"76","121","11","0","0","0","0","0","0","20729"
"76","122","11","1","0","0","0","0","0","27102"
"76","123","11","0","1","0","0","0","0","54647"
"76","124","11","0","0","1","0","0","0","49000"
"76","125","11","0","0","0","1","0","0","49569"
"76","126","11","0","0","0","0","1","0","44121"
"76","127","11","0","0","0","0","0","1","38588"
"76","128","11","0","0","0","0","0","0","22270"
"76","129","11","1","0","0","0","0","0","25643"
"76","130","11","0","1","0","0","0","0","54259"
"76","131","11","0","0","1","0","0","0","48977"
"76","132","11","0","0","0","1","0","0","53782"
"76","133","11","0","0","0","0","1","0","55101"
"76","134","11","0","0","0","0","0","1","45947"
"76","135","11","0","0","0","0","0","0","28207"
"76","136","11","1","0","0","0","0","0","31454"
"76","137","11","0","1","0","0","0","0","66503"
"76","138","11","0","0","1","0","0","0","28783"
"76","139","11","0","0","0","1","0","0","42631"
"76","140","11","0","0","0","0","1","0","55152"
"76","141","11","0","0","0","0","0","1","44210"
"76","142","11","0","0","0","0","0","0","25285"
"76","143","11","1","0","0","0","0","0","32097"
"76","144","11","0","1","0","0","0","0","64753"
"76","145","12","0","0","1","0","0","0","60961"
"76","146","12","0","0","0","1","0","0","57644"
"76","147","12","0","0","0","0","1","0","58859"
"76","148","12","0","0","0","0","0","1","45284"
"76","149","12","0","0","0","0","0","0","26028"
"76","150","12","1","0","0","0","0","0","30070"
"76","151","12","0","1","0","0","0","0","51233"
"76","152","12","0","0","1","0","0","0","34273"
"76","153","12","0","0","0","1","0","0","59854"
"76","154","12","0","0","0","0","1","0","56004"
"76","155","12","0","0","0","0","0","1","46618"
"76","156","12","0","0","0","0","0","0","28634"
"76","157","12","1","0","0","0","0","0","31398"
"76","158","12","0","1","0","0","0","0","60882"
"76","159","12","0","0","1","0","0","0","57145"
"76","160","12","0","0","0","1","0","0","54095"
"76","161","12","0","0","0","0","1","0","49753"
"76","162","12","0","0","0","0","0","1","41926"
"76","163","12","0","0","0","0","0","0","25318"
"76","164","12","1","0","0","0","0","0","28200"
"76","165","12","0","1","0","0","0","0","52138"
"76","166","12","0","0","1","0","0","0","46878"
"76","167","12","0","0","0","1","0","0","37218"
"76","168","12","0","0","0","0","1","0","19055"
"76","169","12","0","0","0","0","0","1","20193"
"76","170","12","0","0","0","0","0","0","23959"
"76","171","12","1","0","0","0","0","0","31697"
"76","172","12","0","1","0","0","0","0","59475"
"76","173","12","0","0","1","0","0","0","52190"
"76","174","12","0","0","0","1","0","0","43434"
"76","175","12","0","0","0","0","1","0","20522"
"76","176","1","0","0","0","0","0","1","20915"
"76","177","1","0","0","0","0","0","0","29499"
"76","178","1","1","0","0","0","0","0","39068"
"76","179","1","0","1","0","0","0","0","77986"
"76","180","1","0","0","1","0","0","0","71286"
"76","181","1","0","0","0","1","0","0","67274"
"76","182","1","0","0","0","0","1","0","63245"
"76","183","1","0","0","0","0","0","1","52760"
"76","184","1","0","0","0","0","0","0","31860"
"76","185","1","1","0","0","0","0","0","33302"
"76","186","1","0","1","0","0","0","0","66647"
"76","187","1","0","0","1","0","0","0","65510"
"76","188","1","0","0","0","1","0","0","59944"
