"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"76","189","1","0","0","0","0","1","0","57154"
"76","190","1","0","0","0","0","0","1","47800"
"76","191","1","0","0","0","0","0","0","27966"
"76","192","1","1","0","0","0","0","0","33071"
"76","193","1","0","1","0","0","0","0","63941"
"76","194","1","0","0","1","0","0","0","57877"
"76","195","1","0","0","0","1","0","0","58279"
"76","196","1","0","0","0","0","1","0","54374"
"76","197","1","0","0","0","0","0","1","43970"
"76","198","1","0","0","0","0","0","0","26416"
