"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"98","1","7","0","0","0","0","0","1","25221"
"98","2","7","0","0","0","0","0","0","19014"
"98","3","7","1","0","0","0","0","0","19644"
"98","4","7","0","1","0","0","0","0","30111"
"98","5","7","0","0","1","0","0","0","29021"
"98","6","7","0","0","0","1","0","0","26229"
"98","7","7","0","0","0","0","1","0","25502"
"98","8","7","0","0","0","0","0","1","23121"
"98","9","7","0","0","0","0","0","0","17342"
"98","10","7","1","0","0","0","0","0","16786"
"98","11","7","0","1","0","0","0","0","28681"
"98","12","7","0","0","1","0","0","0","28764"
"98","13","7","0","0","0","1","0","0","26106"
"98","14","7","0","0","0","0","1","0","24884"
"98","15","7","0","0","0","0","0","1","21797"
"98","16","7","0","0","0","0","0","0","16349"
"98","17","7","1","0","0","0","0","0","17321"
"98","18","7","0","1","0","0","0","0","28416"
"98","19","7","0","0","1","0","0","0","28033"
"98","20","7","0","0","0","1","0","0","25318"
"98","21","7","0","0","0","0","1","0","24877"
"98","22","7","0","0","0","0","0","1","21060"
"98","23","8","0","0","0","0","0","0","15953"
"98","24","8","1","0","0","0","0","0","16798"
"98","25","8","0","1","0","0","0","0","29085"
"98","26","8","0","0","1","0","0","0","28718"
"98","27","8","0","0","0","1","0","0","26890"
"98","28","8","0","0","0","0","1","0","28820"
"98","29","8","0","0","0","0","0","1","24847"
"98","30","8","0","0","0","0","0","0","17962"
"98","31","8","1","0","0","0","0","0","17820"
"98","32","8","0","1","0","0","0","0","26660"
"98","33","8","0","0","1","0","0","0","26354"
"98","34","8","0","0","0","1","0","0","25825"
"98","35","8","0","0","0","0","1","0","25987"
"98","36","8","0","0","0","0","0","1","22686"
"98","37","8","0","0","0","0","0","0","16359"
"98","38","8","1","0","0","0","0","0","17373"
"98","39","8","0","1","0","0","0","0","26637"
"98","40","8","0","0","1","0","0","0","26238"
"98","41","8","0","0","0","1","0","0","24832"
"98","42","8","0","0","0","0","1","0","25587"
"98","43","8","0","0","0","0","0","1","23294"
"98","44","8","0","0","0","0","0","0","15941"
"98","45","8","1","0","0","0","0","0","20149"
"98","46","8","0","1","0","0","0","0","26076"
"98","47","8","0","0","1","0","0","0","25955"
"98","48","8","0","0","0","1","0","0","24406"
"98","49","8","0","0","0","0","1","0","23998"
"98","50","8","0","0","0","0","0","1","21281"
"98","51","8","0","0","0","0","0","0","15429"
"98","52","8","1","0","0","0","0","0","16624"
"98","53","8","0","1","0","0","0","0","25331"
"98","54","9","0","0","1","0","0","0","24440"
"98","55","9","0","0","0","1","0","0","22960"
"98","56","9","0","0","0","0","1","0","23297"
"98","57","9","0","0","0","0","0","1","20228"
"98","58","9","0","0","0","0","0","0","15178"
"98","59","9","1","0","0","0","0","0","15983"
"98","60","9","0","1","0","0","0","0","25262"
"98","61","9","0","0","1","0","0","0","25707"
"98","62","9","0","0","0","1","0","0","24603"
"98","63","9","0","0","0","0","1","0","24440"
"98","64","9","0","0","0","0","0","1","21232"
"98","65","9","0","0","0","0","0","0","15489"
"98","66","9","1","0","0","0","0","0","16720"
"98","67","9","0","1","0","0","0","0","24251"
"98","68","9","0","0","1","0","0","0","19682"
"98","69","9","0","0","0","1","0","0","16995"
"98","70","9","0","0","0","0","1","0","25864"
"98","71","9","0","0","0","0","0","1","22283"
"98","72","9","0","0","0","0","0","0","16261"
"98","73","9","1","0","0","0","0","0","16899"
"98","74","9","0","1","0","0","0","0","26799"
"98","75","9","0","0","1","0","0","0","26644"
"98","76","9","0","0","0","1","0","0","23839"
"98","77","9","0","0","0","0","1","0","24004"
"98","78","9","0","0","0","0","0","1","20823"
"98","79","9","0","0","0","0","0","0","15822"
"98","80","9","1","0","0","0","0","0","16300"
"98","81","9","0","1","0","0","0","0","25270"
"98","82","9","0","0","1","0","0","0","24340"
"98","83","9","0","0","0","1","0","0","22212"
"98","84","10","0","0","0","0","1","0","21978"
"98","85","10","0","0","0","0","0","1","19547"
"98","86","10","0","0","0","0","0","0","14503"
"98","87","10","1","0","0","0","0","0","15298"
"98","88","10","0","1","0","0","0","0","24735"
"98","89","10","0","0","1","0","0","0","24529"
"98","90","10","0","0","0","1","0","0","22954"
"98","91","10","0","0","0","0","1","0","23181"
"98","92","10","0","0","0","0","0","1","20317"
"98","93","10","0","0","0","0","0","0","15596"
"98","94","10","1","0","0","0","0","0","16804"
"98","95","10","0","1","0","0","0","0","26099"
"98","96","10","0","0","1","0","0","0","26731"
"98","97","10","0","0","0","1","0","0","23961"
"98","98","10","0","0","0","0","1","0","23069"
"98","99","10","0","0","0","0","0","1","19626"
"98","100","10","0","0","0","0","0","0","14846"
"98","101","10","1","0","0","0","0","0","15408"
"98","102","10","0","1","0","0","0","0","24530"
"98","103","10","0","0","1","0","0","0","24090"
"98","104","10","0","0","0","1","0","0","22742"
"98","105","10","0","0","0","0","1","0","22746"
"98","106","10","0","0","0","0","0","1","19158"
"98","107","10","0","0","0","0","0","0","15200"
"98","108","10","1","0","0","0","0","0","15895"
"98","109","10","0","1","0","0","0","0","23947"
"98","110","10","0","0","1","0","0","0","24344"
"98","111","10","0","0","0","1","0","0","22579"
"98","112","10","0","0","0","0","1","0","21827"
"98","113","10","0","0","0","0","0","1","18530"
"98","114","10","0","0","0","0","0","0","13705"
"98","115","11","1","0","0","0","0","0","13522"
"98","116","11","0","1","0","0","0","0","18214"
"98","117","11","0","0","1","0","0","0","24799"
"98","118","11","0","0","0","1","0","0","23767"
"98","119","11","0","0","0","0","1","0","24351"
"98","120","11","0","0","0","0","0","1","22398"
"98","121","11","0","0","0","0","0","0","14766"
"98","122","11","1","0","0","0","0","0","16181"
"98","123","11","0","1","0","0","0","0","24501"
"98","124","11","0","0","1","0","0","0","24244"
"98","125","11","0","0","0","1","0","0","21771"
"98","126","11","0","0","0","0","1","0","22325"
"98","127","11","0","0","0","0","0","1","17736"
"98","128","11","0","0","0","0","0","0","13071"
"98","129","11","1","0","0","0","0","0","13212"
"98","130","11","0","1","0","0","0","0","15943"
"98","131","11","0","0","1","0","0","0","22495"
"98","132","11","0","0","0","1","0","0","21608"
"98","133","11","0","0","0","0","1","0","21260"
"98","134","11","0","0","0","0","0","1","18403"
"98","135","11","0","0","0","0","0","0","13998"
"98","136","11","1","0","0","0","0","0","14049"
"98","137","11","0","1","0","0","0","0","21689"
"98","138","11","0","0","1","0","0","0","20935"
"98","139","11","0","0","0","1","0","0","19930"
"98","140","11","0","0","0","0","1","0","19489"
"98","141","11","0","0","0","0","0","1","16723"
"98","142","11","0","0","0","0","0","0","12388"
"98","143","11","1","0","0","0","0","0","13022"
"98","144","11","0","1","0","0","0","0","19257"
"98","145","12","0","0","1","0","0","0","19767"
"98","146","12","0","0","0","1","0","0","18462"
"98","147","12","0","0","0","0","1","0","18215"
"98","148","12","0","0","0","0","0","1","15863"
"98","149","12","0","0","0","0","0","0","12132"
"98","150","12","1","0","0","0","0","0","11804"
"98","151","12","0","1","0","0","0","0","19027"
"98","152","12","0","0","1","0","0","0","18662"
"98","153","12","0","0","0","1","0","0","17516"
"98","154","12","0","0","0","0","1","0","17381"
"98","155","12","0","0","0","0","0","1","15082"
"98","156","12","0","0","0","0","0","0","11264"
"98","157","12","1","0","0","0","0","0","11927"
"98","158","12","0","1","0","0","0","0","19056"
"98","159","12","0","0","1","0","0","0","17591"
"98","160","12","0","0","0","1","0","0","15795"
"98","161","12","0","0","0","0","1","0","15857"
"98","162","12","0","0","0","0","0","1","13302"
"98","163","12","0","0","0","0","0","0","9993"
"98","164","12","1","0","0","0","0","0","9950"
"98","165","12","0","1","0","0","0","0","14805"
"98","166","12","0","0","1","0","0","0","14585"
"98","167","12","0","0","0","1","0","0","11986"
"98","168","12","0","0","0","0","1","0","7702"
"98","169","12","0","0","0","0","0","1","7416"
"98","170","12","0","0","0","0","0","0","10217"
"98","171","12","1","0","0","0","0","0","10978"
"98","172","12","0","1","0","0","0","0","15952"
"98","173","12","0","0","1","0","0","0","15697"
"98","174","12","0","0","0","1","0","0","12756"
"98","175","12","0","0","0","0","1","0","8000"
"98","176","1","0","0","0","0","0","1","7714"
"98","177","1","0","0","0","0","0","0","11314"
"98","178","1","1","0","0","0","0","0","12398"
"98","179","1","0","1","0","0","0","0","19043"
"98","180","1","0","0","1","0","0","0","18806"
"98","181","1","0","0","0","1","0","0","16745"
"98","182","1","0","0","0","0","1","0","19651"
"98","183","1","0","0","0","0","0","1","17828"
"98","184","1","0","0","0","0","0","0","12958"
"98","185","1","1","0","0","0","0","0","13063"
"98","186","1","0","1","0","0","0","0","20930"
"98","187","1","0","0","1","0","0","0","21087"
"98","188","1","0","0","0","1","0","0","19476"
