"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"43","1","7","0","0","0","0","0","1","107283"
"43","2","7","0","0","0","0","0","0","73313"
"43","3","7","1","0","0","0","0","0","82950"
"43","4","7","0","1","0","0","0","0","150979"
"43","5","7","0","0","1","0","0","0","135539"
"43","6","7","0","0","0","1","0","0","118785"
"43","7","7","0","0","0","0","1","0","82450"
"43","8","7","0","0","0","0","0","1","108897"
"43","9","7","0","0","0","0","0","0","71601"
"43","10","7","1","0","0","0","0","0","88851"
"43","11","7","0","1","0","0","0","0","165914"
"43","12","7","0","0","1","0","0","0","148880"
"43","13","7","0","0","0","1","0","0","143987"
"43","14","7","0","0","0","0","1","0","142120"
"43","15","7","0","0","0","0","0","1","125756"
"43","16","7","0","0","0","0","0","0","77623"
"43","17","7","1","0","0","0","0","0","92552"
"43","18","7","0","1","0","0","0","0","181522"
"43","19","7","0","0","1","0","0","0","165415"
"43","20","7","0","0","0","1","0","0","157181"
"43","21","7","0","0","0","0","1","0","153913"
"43","22","7","0","0","0","0","0","1","130402"
"43","23","8","0","0","0","0","0","0","81359"
"43","24","8","1","0","0","0","0","0","102383"
"43","25","8","0","1","0","0","0","0","189054"
"43","26","8","0","0","1","0","0","0","182162"
"43","27","8","0","0","0","1","0","0","179363"
"43","28","8","0","0","0","0","1","0","166059"
"43","29","8","0","0","0","0","0","1","152475"
"43","30","8","0","0","0","0","0","0","88195"
"43","31","8","1","0","0","0","0","0","106448"
"43","32","8","0","1","0","0","0","0","206983"
"43","33","8","0","0","1","0","0","0","194497"
"43","34","8","0","0","0","1","0","0","185761"
"43","35","8","0","0","0","0","1","0","173619"
"43","36","8","0","0","0","0","0","1","144135"
"43","37","8","0","0","0","0","0","0","92945"
"43","38","8","1","0","0","0","0","0","100494"
"43","39","8","0","1","0","0","0","0","195735"
"43","40","8","0","0","1","0","0","0","181489"
"43","41","8","0","0","0","1","0","0","175889"
"43","42","8","0","0","0","0","1","0","171015"
"43","43","8","0","0","0","0","0","1","151544"
"43","44","8","0","0","0","0","0","0","91505"
"43","45","8","1","0","0","0","0","0","106611"
"43","46","8","0","1","0","0","0","0","207520"
"43","47","8","0","0","1","0","0","0","199773"
"43","48","8","0","0","0","1","0","0","196620"
"43","49","8","0","0","0","0","1","0","185166"
"43","50","8","0","0","0","0","0","1","155186"
"43","51","8","0","0","0","0","0","0","92559"
"43","52","8","1","0","0","0","0","0","110080"
"43","53","8","0","1","0","0","0","0","209218"
"43","54","9","0","0","1","0","0","0","187667"
"43","55","9","0","0","0","1","0","0","186624"
"43","56","9","0","0","0","0","1","0","183518"
"43","57","9","0","0","0","0","0","1","152125"
"43","58","9","0","0","0","0","0","0","89058"
"43","59","9","1","0","0","0","0","0","111936"
"43","60","9","0","1","0","0","0","0","225377"
"43","61","9","0","0","1","0","0","0","200018"
"43","62","9","0","0","0","1","0","0","185037"
"43","63","9","0","0","0","0","1","0","174945"
"43","64","9","0","0","0","0","0","1","142604"
"43","65","9","0","0","0","0","0","0","85805"
"43","66","9","1","0","0","0","0","0","97987"
"43","67","9","0","1","0","0","0","0","195869"
"43","68","9","0","0","1","0","0","0","172958"
"43","69","9","0","0","0","1","0","0","143349"
"43","70","9","0","0","0","0","1","0","92299"
"43","71","9","0","0","0","0","0","1","66248"
"43","72","9","0","0","0","0","0","0","112311"
"43","73","9","1","0","0","0","0","0","163628"
"43","74","9","0","1","0","0","0","0","307811"
"43","75","9","0","0","1","0","0","0","295362"
"43","76","9","0","0","0","1","0","0","281463"
"43","77","9","0","0","0","0","1","0","283011"
"43","78","9","0","0","0","0","0","1","242776"
"43","79","9","0","0","0","0","0","0","164235"
"43","80","9","1","0","0","0","0","0","193256"
"43","81","9","0","1","0","0","0","0","325264"
"43","82","9","0","0","1","0","0","0","306642"
"43","83","9","0","0","0","1","0","0","293798"
"43","84","10","0","0","0","0","1","0","287081"
"43","85","10","0","0","0","0","0","1","241363"
"43","86","10","0","0","0","0","0","0","169150"
"43","87","10","1","0","0","0","0","0","199042"
"43","88","10","0","1","0","0","0","0","334268"
"43","89","10","0","0","1","0","0","0","319049"
"43","90","10","0","0","0","1","0","0","282998"
"43","91","10","0","0","0","0","1","0","242373"
"43","92","10","0","0","0","0","0","1","222559"
