"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"70","1","7","0","0","0","0","0","1","107283"
"70","2","7","0","0","0","0","0","0","73313"
"70","3","7","1","0","0","0","0","0","82950"
"70","4","7","0","1","0","0","0","0","150979"
"70","5","7","0","0","1","0","0","0","135539"
"70","6","7","0","0","0","1","0","0","118785"
"70","7","7","0","0","0","0","1","0","82450"
"70","8","7","0","0","0","0","0","1","108897"
"70","9","7","0","0","0","0","0","0","71601"
"70","10","7","1","0","0","0","0","0","88851"
"70","11","7","0","1","0","0","0","0","165914"
"70","12","7","0","0","1","0","0","0","148880"
"70","13","7","0","0","0","1","0","0","143987"
"70","14","7","0","0","0","0","1","0","142120"
"70","15","7","0","0","0","0","0","1","125756"
"70","16","7","0","0","0","0","0","0","77623"
"70","17","7","1","0","0","0","0","0","92552"
"70","18","7","0","1","0","0","0","0","181522"
"70","19","7","0","0","1","0","0","0","165415"
"70","20","7","0","0","0","1","0","0","157181"
"70","21","7","0","0","0","0","1","0","153913"
"70","22","7","0","0","0","0","0","1","130402"
"70","23","8","0","0","0","0","0","0","81359"
"70","24","8","1","0","0","0","0","0","102383"
"70","25","8","0","1","0","0","0","0","189054"
"70","26","8","0","0","1","0","0","0","182162"
"70","27","8","0","0","0","1","0","0","179363"
"70","28","8","0","0","0","0","1","0","166059"
"70","29","8","0","0","0","0","0","1","152475"
"70","30","8","0","0","0","0","0","0","88195"
"70","31","8","1","0","0","0","0","0","106448"
"70","32","8","0","1","0","0","0","0","206983"
"70","33","8","0","0","1","0","0","0","194497"
"70","34","8","0","0","0","1","0","0","185761"
"70","35","8","0","0","0","0","1","0","173619"
"70","36","8","0","0","0","0","0","1","144135"
"70","37","8","0","0","0","0","0","0","92945"
"70","38","8","1","0","0","0","0","0","100494"
"70","39","8","0","1","0","0","0","0","195735"
"70","40","8","0","0","1","0","0","0","181489"
"70","41","8","0","0","0","1","0","0","175889"
"70","42","8","0","0","0","0","1","0","171015"
"70","43","8","0","0","0","0","0","1","151544"
"70","44","8","0","0","0","0","0","0","91505"
"70","45","8","1","0","0","0","0","0","106611"
"70","46","8","0","1","0","0","0","0","207520"
"70","47","8","0","0","1","0","0","0","199773"
"70","48","8","0","0","0","1","0","0","196620"
"70","49","8","0","0","0","0","1","0","185166"
"70","50","8","0","0","0","0","0","1","155186"
"70","51","8","0","0","0","0","0","0","92559"
"70","52","8","1","0","0","0","0","0","110080"
"70","53","8","0","1","0","0","0","0","209218"
"70","54","9","0","0","1","0","0","0","187667"
"70","55","9","0","0","0","1","0","0","186624"
"70","56","9","0","0","0","0","1","0","183518"
"70","57","9","0","0","0","0","0","1","152125"
"70","58","9","0","0","0","0","0","0","89058"
"70","59","9","1","0","0","0","0","0","111936"
"70","60","9","0","1","0","0","0","0","225377"
"70","61","9","0","0","1","0","0","0","200018"
"70","62","9","0","0","0","1","0","0","185037"
"70","63","9","0","0","0","0","1","0","174945"
"70","64","9","0","0","0","0","0","1","142604"
"70","65","9","0","0","0","0","0","0","85805"
"70","66","9","1","0","0","0","0","0","97987"
"70","67","9","0","1","0","0","0","0","195869"
"70","68","9","0","0","1","0","0","0","172958"
"70","69","9","0","0","0","1","0","0","143349"
"70","70","9","0","0","0","0","1","0","92299"
"70","71","9","0","0","0","0","0","1","66248"
"70","72","9","0","0","0","0","0","0","112311"
"70","73","9","1","0","0","0","0","0","163628"
"70","74","9","0","1","0","0","0","0","307811"
"70","75","9","0","0","1","0","0","0","295362"
"70","76","9","0","0","0","1","0","0","281463"
"70","77","9","0","0","0","0","1","0","283011"
"70","78","9","0","0","0","0","0","1","242776"
"70","79","9","0","0","0","0","0","0","164235"
"70","80","9","1","0","0","0","0","0","193256"
"70","81","9","0","1","0","0","0","0","325264"
"70","82","9","0","0","1","0","0","0","306642"
"70","83","9","0","0","0","1","0","0","293798"
"70","84","10","0","0","0","0","1","0","287081"
"70","85","10","0","0","0","0","0","1","241363"
"70","86","10","0","0","0","0","0","0","169150"
"70","87","10","1","0","0","0","0","0","199042"
"70","88","10","0","1","0","0","0","0","334268"
"70","89","10","0","0","1","0","0","0","319049"
"70","90","10","0","0","0","1","0","0","282998"
"70","91","10","0","0","0","0","1","0","242373"
"70","92","10","0","0","0","0","0","1","222559"
"70","93","10","0","0","0","0","0","0","155227"
"70","94","10","1","0","0","0","0","0","161757"
"70","95","10","0","1","0","0","0","0","221572"
"70","96","10","0","0","1","0","0","0","314419"
"70","97","10","0","0","0","1","0","0","310586"
"70","98","10","0","0","0","0","1","0","295221"
"70","99","10","0","0","0","0","0","1","236856"
"70","100","10","0","0","0","0","0","0","161861"
"70","101","10","1","0","0","0","0","0","192750"
"70","102","10","0","1","0","0","0","0","335108"
"70","103","10","0","0","1","0","0","0","306582"
"70","104","10","0","0","0","1","0","0","267222"
"70","105","10","0","0","0","0","1","0","264756"
"70","106","10","0","0","0","0","0","1","225354"
"70","107","10","0","0","0","0","0","0","149691"
"70","108","10","1","0","0","0","0","0","172477"
"70","109","10","0","1","0","0","0","0","300542"
"70","110","10","0","0","1","0","0","0","283522"
"70","111","10","0","0","0","1","0","0","267375"
"70","112","10","0","0","0","0","1","0","239748"
"70","113","10","0","0","0","0","0","1","206454"
"70","114","10","0","0","0","0","0","0","121636"
"70","115","11","1","0","0","0","0","0","155684"
"70","116","11","0","1","0","0","0","0","270181"
"70","117","11","0","0","1","0","0","0","304876"
"70","118","11","0","0","0","1","0","0","267239"
"70","119","11","0","0","0","0","1","0","246267"
"70","120","11","0","0","0","0","0","1","213647"
"70","121","11","0","0","0","0","0","0","138482"
"70","122","11","1","0","0","0","0","0","157278"
"70","123","11","0","1","0","0","0","0","287453"
"70","124","11","0","0","1","0","0","0","267079"
"70","125","11","0","0","0","1","0","0","250166"
"70","126","11","0","0","0","0","1","0","192046"
"70","127","11","0","0","0","0","0","1","168038"
"70","128","11","0","0","0","0","0","0","99857"
"70","129","11","1","0","0","0","0","0","127700"
"70","130","11","0","1","0","0","0","0","260491"
"70","131","11","0","0","1","0","0","0","227832"
"70","132","11","0","0","0","1","0","0","222503"
"70","133","11","0","0","0","0","1","0","192067"
"70","134","11","0","0","0","0","0","1","167472"
"70","135","11","0","0","0","0","0","0","102089"
"70","136","11","1","0","0","0","0","0","116543"
"70","137","11","0","1","0","0","0","0","235642"
"70","138","11","0","0","1","0","0","0","100506"
"70","139","11","0","0","0","1","0","0","145809"
"70","140","11","0","0","0","0","1","0","193972"
"70","141","11","0","0","0","0","0","1","159031"
"70","142","11","0","0","0","0","0","0","94266"
"70","143","11","1","0","0","0","0","0","118444"
"70","144","11","0","1","0","0","0","0","229059"
"70","145","12","0","0","1","0","0","0","214191"
"70","146","12","0","0","0","1","0","0","203828"
"70","147","12","0","0","0","0","1","0","198629"
"70","148","12","0","0","0","0","0","1","161064"
"70","149","12","0","0","0","0","0","0","103028"
"70","150","12","1","0","0","0","0","0","112089"
"70","151","12","0","1","0","0","0","0","243268"
"70","152","12","0","0","1","0","0","0","133032"
"70","153","12","0","0","0","1","0","0","229250"
"70","154","12","0","0","0","0","1","0","203417"
"70","155","12","0","0","0","0","0","1","173195"
"70","156","12","0","0","0","0","0","0","104648"
"70","157","12","1","0","0","0","0","0","121563"
"70","158","12","0","1","0","0","0","0","218617"
"70","159","12","0","0","1","0","0","0","203343"
