"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"70","189","1","0","0","0","0","1","0","196545"
"70","190","1","0","0","0","0","0","1","166792"
"70","191","1","0","0","0","0","0","0","97001"
"70","192","1","1","0","0","0","0","0","118650"
"70","193","1","0","1","0","0","0","0","227707"
"70","194","1","0","0","1","0","0","0","208298"
"70","195","1","0","0","0","1","0","0","201237"
"70","196","1","0","0","0","0","1","0","199418"
"70","197","1","0","0","0","0","0","1","155121"
"70","198","1","0","0","0","0","0","0","101742"
