"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"41","1","7","0","0","0","0","0","1","212652"
"41","2","7","0","0","0","0","0","0","128620"
"41","3","7","1","0","0","0","0","0","144781"
"41","4","7","0","1","0","0","0","0","278434"
"41","5","7","0","0","1","0","0","0","249970"
"41","6","7","0","0","0","1","0","0","250551"
"41","7","7","0","0","0","0","1","0","235298"
"41","8","7","0","0","0","0","0","1","199613"
"41","9","7","0","0","0","0","0","0","114645"
"41","10","7","1","0","0","0","0","0","123751"
"41","11","7","0","1","0","0","0","0","234276"
"41","12","7","0","0","1","0","0","0","258559"
"41","13","7","0","0","0","1","0","0","247073"
"41","14","7","0","0","0","0","1","0","237017"
"41","15","7","0","0","0","0","0","1","200343"
"41","16","7","0","0","0","0","0","0","117737"
"41","17","7","1","0","0","0","0","0","127091"
"41","18","7","0","1","0","0","0","0","264742"
"41","19","7","0","0","1","0","0","0","254335"
"41","20","7","0","0","0","1","0","0","247953"
"41","21","7","0","0","0","0","1","0","247120"
"41","22","7","0","0","0","0","0","1","216531"
"41","23","8","0","0","0","0","0","0","117906"
"41","24","8","1","0","0","0","0","0","135421"
"41","25","8","0","1","0","0","0","0","277648"
"41","26","8","0","0","1","0","0","0","266300"
"41","27","8","0","0","0","1","0","0","262572"
"41","28","8","0","0","0","0","1","0","250420"
"41","29","8","0","0","0","0","0","1","213258"
"41","30","8","0","0","0","0","0","0","129744"
"41","31","8","1","0","0","0","0","0","131936"
"41","32","8","0","1","0","0","0","0","266985"
"41","33","8","0","0","1","0","0","0","254340"
"41","34","8","0","0","0","1","0","0","242274"
"41","35","8","0","0","0","0","1","0","238463"
"41","36","8","0","0","0","0","0","1","195848"
"41","37","8","0","0","0","0","0","0","99393"
"41","38","8","1","0","0","0","0","0","92934"
"41","39","8","0","1","0","0","0","0","149879"
"41","40","8","0","0","1","0","0","0","251677"
"41","41","8","0","0","0","1","0","0","246216"
"41","42","8","0","0","0","0","1","0","239176"
"41","43","8","0","0","0","0","0","1","195901"
"41","44","8","0","0","0","0","0","0","107247"
"41","45","8","1","0","0","0","0","0","124436"
"41","46","8","0","1","0","0","0","0","263734"
"41","47","8","0","0","1","0","0","0","248785"
"41","48","8","0","0","0","1","0","0","269617"
"41","49","8","0","0","0","0","1","0","261727"
"41","50","8","0","0","0","0","0","1","224471"
"41","51","8","0","0","0","0","0","0","107606"
"41","52","8","1","0","0","0","0","0","125796"
"41","53","8","0","1","0","0","0","0","282532"
"41","54","9","0","0","1","0","0","0","263097"
"41","55","9","0","0","0","1","0","0","255495"
"41","56","9","0","0","0","0","1","0","240780"
"41","57","9","0","0","0","0","0","1","201129"
"41","58","9","0","0","0","0","0","0","111194"
"41","59","9","1","0","0","0","0","0","127855"
"41","60","9","0","1","0","0","0","0","265507"
"41","61","9","0","0","1","0","0","0","242428"
"41","62","9","0","0","0","1","0","0","245435"
"41","63","9","0","0","0","0","1","0","232642"
"41","64","9","0","0","0","0","0","1","189777"
"41","65","9","0","0","0","0","0","0","108147"
"41","66","9","1","0","0","0","0","0","116455"
"41","67","9","0","1","0","0","0","0","269467"
"41","68","9","0","0","1","0","0","0","265485"
"41","69","9","0","0","0","1","0","0","266649"
"41","70","9","0","0","0","0","1","0","247543"
"41","71","9","0","0","0","0","0","1","197457"
"41","72","9","0","0","0","0","0","0","110459"
"41","73","9","1","0","0","0","0","0","126356"
"41","74","9","0","1","0","0","0","0","262416"
