"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"72","189","1","0","0","0","0","1","0","18840"
"72","190","1","0","0","0","0","0","1","17483"
"72","191","1","0","0","0","0","0","0","11829"
"72","192","1","1","0","0","0","0","0","15282"
"72","193","1","0","1","0","0","0","0","23220"
"72","194","1","0","0","1","0","0","0","20422"
"72","195","1","0","0","0","1","0","0","20441"
"72","196","1","0","0","0","0","1","0","17976"
"72","197","1","0","0","0","0","0","1","15979"
"72","198","1","0","0","0","0","0","0","12106"
