"website_id","date_int","months","D1","D2","D3","D4","D5","D6","impressions"
"72","1","7","0","0","0","0","0","1","13145"
"72","2","7","0","0","0","0","0","0","11041"
"72","3","7","1","0","0","0","0","0","13321"
"72","4","7","0","1","0","0","0","0","18871"
"72","5","7","0","0","1","0","0","0","16288"
"72","6","7","0","0","0","1","0","0","13929"
"72","7","7","0","0","0","0","1","0","11435"
"72","8","7","0","0","0","0","0","1","12989"
"72","9","7","0","0","0","0","0","0","10304"
"72","10","7","1","0","0","0","0","0","13641"
"72","11","7","0","1","0","0","0","0","19065"
"72","12","7","0","0","1","0","0","0","18038"
"72","13","7","0","0","0","1","0","0","17773"
"72","14","7","0","0","0","0","1","0","17420"
"72","15","7","0","0","0","0","0","1","14220"
"72","16","7","0","0","0","0","0","0","11003"
"72","17","7","1","0","0","0","0","0","13649"
"72","18","7","0","1","0","0","0","0","21558"
"72","19","7","0","0","1","0","0","0","21433"
"72","20","7","0","0","0","1","0","0","20020"
"72","21","7","0","0","0","0","1","0","17400"
"72","22","7","0","0","0","0","0","1","16357"
"72","23","8","0","0","0","0","0","0","12467"
"72","24","8","1","0","0","0","0","0","16142"
"72","25","8","0","1","0","0","0","0","22939"
"72","26","8","0","0","1","0","0","0","21069"
"72","27","8","0","0","0","1","0","0","18683"
"72","28","8","0","0","0","0","1","0","16629"
"72","29","8","0","0","0","0","0","1","14458"
"72","30","8","0","0","0","0","0","0","10805"
"72","31","8","1","0","0","0","0","0","13685"
"72","32","8","0","1","0","0","0","0","23466"
"72","33","8","0","0","1","0","0","0","20680"
"72","34","8","0","0","0","1","0","0","20479"
"72","35","8","0","0","0","0","1","0","18528"
"72","36","8","0","0","0","0","0","1","15492"
"72","37","8","0","0","0","0","0","0","11505"
"72","38","8","1","0","0","0","0","0","14629"
"72","39","8","0","1","0","0","0","0","22629"
"72","40","8","0","0","1","0","0","0","22271"
"72","41","8","0","0","0","1","0","0","22093"
"72","42","8","0","0","0","0","1","0","20574"
"72","43","8","0","0","0","0","0","1","17470"
"72","44","8","0","0","0","0","0","0","10714"
"72","45","8","1","0","0","0","0","0","13737"
"72","46","8","0","1","0","0","0","0","21125"
"72","47","8","0","0","1","0","0","0","21380"
"72","48","8","0","0","0","1","0","0","20169"
"72","49","8","0","0","0","0","1","0","18120"
"72","50","8","0","0","0","0","0","1","13966"
"72","51","8","0","0","0","0","0","0","10302"
"72","52","8","1","0","0","0","0","0","13186"
"72","53","8","0","1","0","0","0","0","19916"
"72","54","9","0","0","1","0","0","0","19058"
"72","55","9","0","0","0","1","0","0","17303"
"72","56","9","0","0","0","0","1","0","14243"
"72","57","9","0","0","0","0","0","1","12568"
"72","58","9","0","0","0","0","0","0","9406"
"72","59","9","1","0","0","0","0","0","9954"
"72","60","9","0","1","0","0","0","0","17795"
"72","61","9","0","0","1","0","0","0","17697"
"72","62","9","0","0","0","1","0","0","17058"
"72","63","9","0","0","0","0","1","0","14504"
"72","64","9","0","0","0","0","0","1","12342"
"72","65","9","0","0","0","0","0","0","9255"
"72","66","9","1","0","0","0","0","0","11609"
"72","67","9","0","1","0","0","0","0","16423"
"72","68","9","0","0","1","0","0","0","13393"
"72","69","9","0","0","0","1","0","0","9346"
"72","70","9","0","0","0","0","1","0","6342"
"72","71","9","0","0","0","0","0","1","5036"
"72","72","9","0","0","0","0","0","0","6461"
"72","73","9","1","0","0","0","0","0","11416"
"72","74","9","0","1","0","0","0","0","20080"
"72","75","9","0","0","1","0","0","0","20762"
"72","76","9","0","0","0","1","0","0","20024"
"72","77","9","0","0","0","0","1","0","18473"
"72","78","9","0","0","0","0","0","1","15785"
"72","79","9","0","0","0","0","0","0","11982"
"72","80","9","1","0","0","0","0","0","15890"
"72","81","9","0","1","0","0","0","0","23102"
"72","82","9","0","0","1","0","0","0","20825"
"72","83","9","0","0","0","1","0","0","21484"
"72","84","10","0","0","0","0","1","0","20773"
"72","85","10","0","0","0","0","0","1","17056"
"72","86","10","0","0","0","0","0","0","13110"
"72","87","10","1","0","0","0","0","0","16455"
"72","88","10","0","1","0","0","0","0","25140"
"72","89","10","0","0","1","0","0","0","23456"
"72","90","10","0","0","0","1","0","0","19155"
"72","91","10","0","0","0","0","1","0","17414"
"72","92","10","0","0","0","0","0","1","15002"
"72","93","10","0","0","0","0","0","0","11010"
"72","94","10","1","0","0","0","0","0","12035"
"72","95","10","0","1","0","0","0","0","16910"
"72","96","10","0","0","1","0","0","0","22340"
"72","97","10","0","0","0","1","0","0","21633"
"72","98","10","0","0","0","0","1","0","19260"
"72","99","10","0","0","0","0","0","1","16638"
"72","100","10","0","0","0","0","0","0","12459"
"72","101","10","1","0","0","0","0","0","14953"
"72","102","10","0","1","0","0","0","0","24699"
"72","103","10","0","0","1","0","0","0","22721"
"72","104","10","0","0","0","1","0","0","19318"
"72","105","10","0","0","0","0","1","0","17722"
"72","106","10","0","0","0","0","0","1","15889"
"72","107","10","0","0","0","0","0","0","13064"
"72","108","10","1","0","0","0","0","0","15172"
"72","109","10","0","1","0","0","0","0","22023"
"72","110","10","0","0","1","0","0","0","21352"
"72","111","10","0","0","0","1","0","0","20172"
"72","112","10","0","0","0","0","1","0","17814"
"72","113","10","0","0","0","0","0","1","14229"
"72","114","10","0","0","0","0","0","0","9839"
"72","115","11","1","0","0","0","0","0","14132"
"72","116","11","0","1","0","0","0","0","23009"
"72","117","11","0","0","1","0","0","0","22614"
"72","118","11","0","0","0","1","0","0","20558"
"72","119","11","0","0","0","0","1","0","18268"
"72","120","11","0","0","0","0","0","1","16055"
"72","121","11","0","0","0","0","0","0","10513"
"72","122","11","1","0","0","0","0","0","14098"
"72","123","11","0","1","0","0","0","0","21610"
"72","124","11","0","0","1","0","0","0","20934"
"72","125","11","0","0","0","1","0","0","17682"
"72","126","11","0","0","0","0","1","0","15974"
"72","127","11","0","0","0","0","0","1","15662"
"72","128","11","0","0","0","0","0","0","10894"
"72","129","11","1","0","0","0","0","0","13622"
"72","130","11","0","1","0","0","0","0","21052"
"72","131","11","0","0","1","0","0","0","18030"
"72","132","11","0","0","0","1","0","0","19485"
"72","133","11","0","0","0","0","1","0","19773"
